Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
39.126	-1.12655	-0.53343
39.225	-1.12346	-0.53277
39.325	-1.11918	-0.53212
39.424	-1.11232	-0.53146
39.523	-1.10348	-0.53081
39.622	-1.09403	-0.53015
39.722	-1.08354	-0.5295
39.821	-1.07329	-0.52884
39.92	-1.06377	-0.52819
40.02	-1.05357	-0.52753
40.119	-1.0445	-0.52688
40.218	-1.03583	-0.52622
40.318	-1.02745	-0.52557
40.417	-1.02002	-0.52491
40.516	-1.01275	-0.52426
40.615	-1.00596	-0.52361
40.715	-0.9986	-0.52295
40.814	-0.99038	-0.5223
40.913	-0.98082	-0.52164
41.013	-0.97014	-0.52099
41.112	-0.95845	-0.52034
41.211	-0.94619	-0.51969
41.311	-0.93338	-0.51903
41.41	-0.91974	-0.51838
41.509	-0.9061	-0.51773
41.609	-0.89214	-0.51708
41.708	-0.87719	-0.51642
41.807	-0.86113	-0.51577
41.906	-0.84303	-0.51512
42.006	-0.82333	-0.51447
42.105	-0.80313	-0.51382
42.204	-0.7915	-0.51317
42.304	-0.7792	-0.51252
42.403	-0.76678	-0.51187
42.502	-0.75391	-0.51121
42.602	-0.741	-0.51056
42.701	-0.72895	-0.50991
42.8	-0.71707	-0.50926
42.899	-0.70554	-0.50861
42.999	-0.69407	-0.50796
43.098	-0.68283	-0.50731
43.197	-0.67156	-0.50666
43.297	-0.65962	-0.50602
43.396	-0.64751	-0.50537
43.495	-0.63488	-0.50472
43.595	-0.62161	-0.50407
43.694	-0.60876	-0.50342
43.793	-0.59589	-0.50277
43.892	-0.58317	-0.50212
43.992	-0.57073	-0.50148
44.091	-0.5576	-0.50083
44.19	-0.54411	-0.50018
44.29	-0.52843	-0.49953
44.389	-0.51139	-0.49888
44.488	-0.49363	-0.49824
44.588	-0.47539	-0.49759
44.687	-0.45755	-0.49694
44.786	-0.4391	-0.4963
44.886	-0.42035	-0.49565
44.985	-0.40147	-0.495
45.084	-0.38384	-0.49436
45.183	-0.36863	-0.49371
45.283	-0.35471	-0.49306
45.382	-0.34238	-0.49242
45.481	-0.33075	-0.49177
45.581	-0.31875	-0.49113
45.68	-0.30652	-0.49048
45.779	-0.29334	-0.48984
45.879	-0.27913	-0.48919
45.978	-0.26492	-0.48855
46.077	-0.25029	-0.4879
46.176	-0.23555	-0.48726
46.276	-0.22063	-0.48661
46.375	-0.20484	-0.48597
46.474	-0.18971	-0.48533
46.574	-0.17424	-0.48468
46.673	-0.1594	-0.48404
46.772	-0.14656	-0.4834
46.872	-0.1352	-0.48275
46.971	-0.12591	-0.48211
47.07	-0.11801	-0.48147
47.169	-0.11064	-0.48082
47.269	-0.10447	-0.48018
47.368	-0.09956	-0.47954
47.467	-0.09673	-0.4789
47.567	-0.09529	-0.47825
