Time (sec)	¥ÄZ/Z0 (%)	¥ÄZ/Z0 (%) with a smoothing filter
779.033	6.52069	7.77272
779.132	6.50596	7.77472
779.231	6.49281	7.77674
779.331	6.4812	7.77875
779.43	6.47077	7.78078
779.529	6.46107	7.78281
779.629	6.45123	7.78484
779.728	6.44202	7.78689
779.827	6.43226	7.78895
779.927	6.42251	7.79101
780.026	6.41263	7.7931
780.125	6.40297	7.79518
780.224	6.39439	7.79728
780.324	6.38662	7.79938
780.423	6.38001	7.80148
780.522	6.37383	7.80359
780.622	6.36819	7.8057
780.721	6.36266	7.80781
780.82	6.3573	7.80993
780.92	6.3518	7.81204
781.019	6.34609	7.81417
781.118	6.34101	7.81629
781.217	6.33622	7.81841
781.317	6.33257	7.82054
781.416	6.33092	7.82266
781.515	6.33091	7.82478
781.615	6.33351	7.82689
781.714	6.33809	7.829
781.813	6.34382	7.8311
781.913	6.35127	7.8332
782.012	6.3605	7.8353
782.111	6.37163	7.83739
782.211	6.38508	7.83947
782.31	6.40014	7.84156
782.409	6.4162	7.84363
782.508	6.43278	7.84571
782.608	6.44918	7.84778
782.707	6.46462	7.84984
782.806	6.47883	7.85191
782.906	6.49231	7.85396
783.005	6.50462	7.85602
783.104	6.51674	7.85807
783.204	6.52868	7.86012
783.303	6.54126	7.86216
783.402	6.55595	7.86419
783.501	6.57252	7.86622
783.601	6.59099	7.86825
783.7	6.61037	7.87027
783.799	6.62956	7.87228
783.899	6.64861	7.87429
783.998	6.66721	7.87629
784.097	6.68522	7.87829
784.197	6.70276	7.88028
784.296	6.72032	7.88227
784.395	6.73873	7.88424
784.494	6.75822	7.88622
784.594	6.77866	7.88818
784.693	6.79868	7.89014
784.792	6.81826	7.8921
784.892	6.83796	7.89405
784.991	6.85718	7.89599
785.09	6.87629	7.89792
785.19	6.89506	7.89985
785.289	6.913	7.90178
785.388	6.93116	7.9037
785.488	6.9501	7.90561
785.587	6.969	7.90751
785.686	6.98783	7.90941
785.785	7.00639	7.9113
785.885	7.02446	7.91319
785.984	7.04231	7.91506
786.083	7.06009	7.91694
786.183	7.07845	7.9188
786.282	7.09713	7.92065
786.381	7.11658	7.9225
786.481	7.13676	7.92434
786.58	7.15667	7.92618
786.679	7.17668	7.928
786.778	7.19622	7.92982
786.878	7.21583	7.93163
786.977	7.23582	7.93343
787.076	7.25536	7.93523
787.176	7.27467	7.937
787.275	7.29271	7.93877
787.374	7.3091	7.94052
787.474	7.32476	7.94225
787.573	7.34048	7.94397
787.672	7.35685	7.94568
787.771	7.37405	7.94737
787.871	7.39239	7.94904
787.97	7.41099	7.9507
788.069	7.42934	7.95235
788.169	7.448	7.95399
788.268	7.46683	7.95561
788.367	7.48633	7.95721
788.467	7.50686	7.95881
788.566	7.52821	7.96039
788.665	7.54966	7.96195
788.765	7.57106	7.96351
788.864	7.59196	7.96505
788.963	7.61253	7.96658
789.062	7.63314	7.96811
789.162	7.65425	7.96962
789.261	7.6762	7.97113
789.36	7.6989	7.97262
789.46	7.72256	7.9741
789.559	7.74694	7.97557
789.658	7.77328	7.97704
789.758	7.80225	7.97849
789.857	7.83307	7.97994
789.956	7.86202	7.98138
790.055	7.88764	7.98281
790.155	7.90898	7.98424
790.254	7.92537	7.98566
790.353	7.9393	7.98708
790.453	7.95278	7.98849
790.552	7.96692	7.9899
790.651	7.98048	7.9913
790.751	7.99322	7.9927
790.85	8.00317	7.9941
790.949	8.00836	7.99549
791.048	8.01174	7.99689
791.148	8.0159	7.99828
791.247	8.02301	7.99967
791.346	8.03507	8.00107
791.446	8.05224	8.00246
791.545	8.07316	8.00385
791.644	8.09542	8.00524
791.744	8.11741	8.00664
791.843	8.13802	8.00804
791.942	8.15707	8.00944
792.042	8.17399	8.01085
792.141	8.17749	8.01227
792.24	8.17798	8.01369
792.339	8.17542	8.01511
792.439	8.17053	8.01655
792.538	8.16272	8.01798
792.637	8.15361	8.01943
792.737	8.14337	8.02089
792.836	8.13195	8.02236
792.935	8.12012	8.02383
793.035	8.10681	8.02531
793.134	8.09134	8.02681
793.233	8.07375	8.02831
793.332	8.05398	8.02982
793.432	8.03208	8.03134
793.531	8.00859	8.03287
793.63	7.98369	8.03441
793.73	7.95772	8.03596
793.829	7.93141	8.03752
793.928	7.90506	8.03908
794.028	7.87819	8.04065
794.127	7.85114	8.04224
794.226	7.82316	8.04383
794.325	7.79387	8.04543
794.425	7.76285	8.04704
794.524	7.72804	8.04867
794.623	7.68892	8.05031
794.723	7.64506	8.05196
794.822	7.59717	8.05362
794.921	7.54585	8.0553
795.021	7.52671	8.05699
795.12	7.50699	8.0587
795.219	7.48661	8.06042
795.319	7.46655	8.06215
795.418	7.44735	8.0639
795.517	7.42895	8.06567
795.616	7.41136	8.06745
795.716	7.39507	8.06924
795.815	7.38017	8.07105
795.914	7.36666	8.07287
796.014	7.35487	8.0747
796.113	7.34396	8.07655
796.212	7.33378	8.07841
796.312	7.32453	8.08028
796.411	7.31591	8.08217
796.51	7.30809	8.08408
796.609	7.30122	8.08601
796.709	7.29573	8.08795
796.808	7.29224	8.08991
796.907	7.29018	8.09189
797.007	7.28968	8.09388
797.106	7.29067	8.09589
797.205	7.29233	8.09792
797.305	7.29516	8.09997
797.404	7.29898	8.10203
797.503	7.30367	8.10412
797.602	7.30985	8.10623
797.702	7.31731	8.10835
797.801	7.32622	8.1105
797.9	7.33673	8.11267
798	7.34883	8.11486
798.099	7.36227	8.11708
798.198	7.37672	8.11932
798.298	7.39197	8.12158
798.397	7.40756	8.12387
798.496	7.42362	8.12618
798.596	7.43999	8.12851
798.695	7.45617	8.13086
798.794	7.47212	8.13324
798.893	7.48827	8.13563
798.993	7.50444	8.13805
799.092	7.52075	8.14048
799.191	7.53693	8.14294
799.291	7.55346	8.14542
799.39	7.57028	8.14791
799.489	7.58774	8.15042
799.589	7.60619	8.15295
799.688	7.62498	8.1555
799.787	7.64505	8.15806
799.886	7.66637	8.16063
799.986	7.68999	8.16322
800.085	7.71545	8.16581
800.184	7.74298	8.16842
800.284	7.77223	8.17105
800.383	7.80245	8.17369
800.482	7.83436	8.17634
800.582	7.86746	8.17902
800.681	7.90206	8.18171
800.78	7.93844	8.1844
800.879	7.97714	8.18711
800.979	8.01879	8.18984
801.078	8.06312	8.19257
801.177	8.11001	8.19532
801.277	8.15859	8.19808
801.376	8.20733	8.20086
801.475	8.25612	8.20365
801.575	8.30496	8.20646
801.674	8.35402	8.20928
801.773	8.40324	8.21212
801.873	8.45218	8.21498
801.972	8.49971	8.21785
802.071	8.54537	8.22073
802.17	8.58957	8.22363
802.27	8.63232	8.22654
802.369	8.67437	8.22946
802.468	8.71593	8.2324
802.568	8.75681	8.23534
802.667	8.79739	8.23829
802.766	8.83794	8.24126
802.866	8.87826	8.24423
802.965	8.91926	8.2472
803.064	8.96071	8.25019
803.163	9.00183	8.25318
803.263	9.04239	8.25617
803.362	9.081	8.25917
803.461	9.11803	8.26217
803.561	9.15357	8.26517
803.66	9.18872	8.26817
803.759	9.22409	8.27118
803.859	9.25971	8.27418
803.958	9.29598	8.27718
804.057	9.3328	8.28018
804.156	9.37057	8.28318
804.256	9.4088	8.28617
804.355	9.44677	8.28917
804.454	9.48335	8.29216
804.554	9.51795	8.29515
804.653	9.5511	8.29813
804.752	9.58331	8.30111
804.852	9.61424	8.30409
804.951	9.64464	8.30707
805.05	9.67388	8.31004
805.15	9.70145	8.31301
805.249	9.72771	8.31598
805.348	9.75164	8.31894
805.447	9.77358	8.3219
805.547	9.79443	8.32486
805.646	9.81474	8.32781
805.745	9.83455	8.33075
805.845	9.8535	8.33368
805.944	9.87153	8.3366
806.043	9.88856	8.33951
806.143	9.90473	8.3424
806.242	9.92094	8.34529
806.341	9.93714	8.34815
806.441	9.95318	8.351
806.54	9.96924	8.35384
806.639	9.9848	8.35666
806.738	9.99969	8.35946
806.838	10.0137	8.36224
806.937	10.02709	8.36501
807.036	10.03976	8.36776
807.136	10.05163	8.37051
807.235	10.06306	8.37324
807.334	10.07385	8.37596
807.433	10.08387	8.37868
807.533	10.09288	8.38139
807.632	10.10014	8.38409
807.731	10.10581	8.38678
807.831	10.10952	8.38946
807.93	10.11153	8.39214
808.029	10.11224	8.3948
808.129	10.11088	8.39746
808.228	10.10769	8.40011
808.327	10.10251	8.40275
808.427	10.09546	8.40539
808.526	10.08707	8.40802
808.625	10.07762	8.41065
808.724	10.06692	8.41327
808.824	10.05503	8.41588
808.923	10.04159	8.41849
809.022	10.02619	8.42109
809.122	10.0086	8.42369
809.221	9.98941	8.42628
809.32	9.96866	8.42887
809.42	9.94677	8.43145
809.519	9.92398	8.43403
809.618	9.89936	8.4366
809.718	9.87312	8.43916
809.817	9.84588	8.44173
809.916	9.82193	8.44429
810.015	9.80216	8.44685
810.115	9.78693	8.4494
810.214	9.77595	8.45195
810.313	9.76518	8.45449
810.413	9.75363	8.45702
810.512	9.74082	8.45955
810.611	9.72605	8.46208
810.71	9.70976	8.4646
810.81	9.69273	8.46712
810.909	9.67524	8.46962
811.008	9.65769	8.47213
811.108	9.63954	8.47462
811.207	9.62055	8.47711
811.306	9.6006	8.47959
811.406	9.5793	8.48206
811.505	9.55741	8.48452
811.604	9.53522	8.48698
811.704	9.51304	8.48941
811.803	9.49121	8.49184
811.902	9.46842	8.49426
812.001	9.44491	8.49667
812.101	9.42025	8.49907
812.2	9.39481	8.50145
812.299	9.36961	8.50383
812.399	9.34467	8.50621
812.498	9.32047	8.50857
812.597	9.29681	8.51093
812.697	9.27331	8.51329
812.796	9.24886	8.51563
812.895	9.22344	8.51798
812.995	9.19676	8.52032
813.094	9.16942	8.52266
813.193	9.14205	8.52499
813.292	9.11423	8.52732
813.392	9.08626	8.52965
813.491	9.05747	8.53198
813.59	9.02796	8.53431
813.69	8.99751	8.53664
813.789	8.96542	8.53898
813.888	8.93185	8.54132
813.987	8.89665	8.54366
814.087	8.86002	8.546
814.186	8.82222	8.54835
814.285	8.78331	8.5507
814.385	8.74379	8.55305
814.484	8.70498	8.5554
814.583	8.66849	8.55775
814.683	8.63544	8.56011
814.782	8.6063	8.56246
814.881	8.58091	8.56482
814.981	8.55847	8.56718
815.08	8.53827	8.56954
815.179	8.52	8.5719
815.278	8.50325	8.57426
815.378	8.48786	8.57662
815.477	8.47388	8.57898
815.576	8.46129	8.58134
815.676	8.44936	8.5837
815.775	8.43806	8.58605
815.874	8.42712	8.5884
815.974	8.4158	8.59075
816.073	8.40485	8.59309
816.172	8.39425	8.59544
816.272	8.38384	8.59778
816.371	8.37466	8.60012
816.47	8.36602	8.60245
816.569	8.35806	8.60478
816.669	8.34997	8.6071
816.768	8.34084	8.60943
816.867	8.33172	8.61175
816.967	8.32174	8.61406
817.066	8.31177	8.61638
817.165	8.30212	8.61869
817.264	8.29233	8.621
817.364	8.28299	8.6233
817.463	8.27399	8.6256
817.562	8.26539	8.62789
817.662	8.25678	8.63018
817.761	8.24839	8.63247
817.86	8.23997	8.63475
817.96	8.23176	8.63703
818.059	8.22421	8.6393
818.158	8.21733	8.64156
818.258	8.21088	8.64383
818.357	8.20464	8.64609
818.456	8.19853	8.64835
818.555	8.19269	8.65061
818.655	8.18753	8.65287
818.754	8.18294	8.65513
818.853	8.17915	8.6574
818.953	8.17576	8.65966
819.052	8.1732	8.66193
819.151	8.17207	8.6642
819.251	8.1715	8.66647
819.35	8.17229	8.66874
819.449	8.17451	8.67102
819.549	8.17785	8.6733
819.648	8.18259	8.67558
819.747	8.18808	8.67787
819.846	8.19353	8.68016
819.946	8.19818	8.68245
820.045	8.20289	8.68475
820.144	8.20787	8.68706
820.244	8.21362	8.68937
820.343	8.22113	8.69168
820.442	8.22927	8.69399
820.541	8.2375	8.69631
820.641	8.24528	8.69864
820.74	8.25193	8.70097
820.839	8.25745	8.7033
820.939	8.26175	8.70563
821.038	8.26487	8.70796
821.137	8.26684	8.7103
821.237	8.26757	8.71263
821.336	8.26775	8.71496
821.435	8.26726	8.71729
821.535	8.26564	8.71962
821.634	8.26332	8.72194
821.733	8.26047	8.72427
821.832	8.25714	8.72658
821.932	8.25399	8.7289
822.031	8.25113	8.73121
822.13	8.24805	8.73351
822.23	8.24524	8.73581
822.329	8.24279	8.73812
822.428	8.24044	8.74041
822.528	8.239	8.74271
822.627	8.23875	8.74501
822.726	8.23923	8.74731
822.826	8.24055	8.74961
822.925	8.24207	8.75191
823.024	8.2431	8.75421
823.123	8.24415	8.75651
823.223	8.24516	8.75882
823.322	8.246	8.76112
823.421	8.24683	8.76342
823.521	8.2478	8.76572
823.62	8.24814	8.76802
823.719	8.24756	8.77031
823.818	8.24587	8.77261
823.918	8.24261	8.7749
824.017	8.23839	8.7772
824.116	8.23344	8.77949
824.216	8.22819	8.78178
824.315	8.22251	8.78407
824.414	8.21673	8.78635
824.514	8.21111	8.78863
824.613	8.20513	8.79092
824.712	8.19886	8.7932
824.812	8.19269	8.79548
824.911	8.18611	8.79777
825.01	8.17978	8.80005
825.109	8.17392	8.80233
825.209	8.1686	8.80461
825.308	8.16366	8.80688
825.407	8.15887	8.80916
825.507	8.15415	8.81145
825.606	8.14877	8.81374
825.705	8.14359	8.81605
825.805	8.1386	8.81838
825.904	8.13379	8.82072
826.003	8.12965	8.82307
826.103	8.12533	8.82545
826.202	8.12072	8.82784
826.301	8.11548	8.83024
826.4	8.10941	8.83266
826.5	8.10308	8.8351
826.599	8.09644	8.83755
826.698	8.09021	8.84001
826.798	8.08448	8.84249
826.897	8.07872	8.84497
826.996	8.07299	8.84747
827.095	8.0673	8.84998
827.195	8.06164	8.8525
827.294	8.05621	8.85504
827.393	8.05111	8.85759
827.493	8.04553	8.86015
827.592	8.03947	8.86273
827.691	8.03287	8.86532
827.791	8.02618	8.86793
827.89	8.01987	8.87056
827.989	8.0139	8.8732
828.089	8.00921	8.87585
828.188	8.00576	8.87852
828.287	8.00382	8.8812
828.386	8.0032	8.88389
828.486	8.00348	8.88659
828.585	8.0044	8.88929
828.684	8.00565	8.89199
828.784	8.00717	8.8947
828.883	8.00851	8.89742
828.982	8.00955	8.90013
829.082	8.01057	8.90285
829.181	8.01097	8.90556
829.28	8.01073	8.90827
829.38	8.01035	8.91099
829.479	8.01042	8.91369
829.578	8.01178	8.9164
829.677	8.01524	8.9191
829.777	8.0204	8.92179
829.876	8.02577	8.92448
829.975	8.03099	8.92715
830.075	8.03515	8.92982
830.174	8.03776	8.93246
830.273	8.03942	8.93509
830.372	8.04068	8.9377
830.472	8.04118	8.94028
830.571	8.0415	8.94282
830.67	8.04165	8.94534
830.77	8.04094	8.94783
830.869	8.04052	8.95029
830.968	8.04016	8.95272
831.068	8.04033	8.95514
831.167	8.04196	8.95755
831.266	8.0448	8.95994
831.366	8.04896	8.96234
831.465	8.05372	8.96472
831.564	8.05833	8.9671
831.663	8.0627	8.96948
831.763	8.06751	8.97185
831.862	8.07361	8.97422
831.961	8.08088	8.97658
832.061	8.08908	8.97893
832.16	8.09716	8.98127
832.259	8.10446	8.9836
832.359	8.1111	8.98591
832.458	8.11741	8.9882
832.557	8.12328	8.99048
832.656	8.1293	8.99273
832.756	8.13604	8.99496
832.855	8.14354	8.99717
832.954	8.15249	8.99936
833.054	8.16204	9.00152
833.153	8.17182	9.00365
833.252	8.18252	9.00576
833.352	8.19367	9.00785
833.451	8.20568	9.00991
833.55	8.21797	9.01195
833.649	8.23007	9.01395
833.749	8.24224	9.01593
833.848	8.25408	9.01787
833.947	8.2659	9.01978
834.047	8.27643	9.02167
834.146	8.28593	9.02352
834.245	8.29412	9.02535
834.345	8.30081	9.02714
834.444	8.30606	9.02891
834.543	8.30903	9.03063
834.643	8.30989	9.03233
834.742	8.30819	9.03399
834.841	8.30467	9.03562
834.94	8.29948	9.03722
835.04	8.29274	9.03879
835.139	8.28483	9.04035
835.238	8.27514	9.04189
835.338	8.2636	9.04342
835.437	8.25002	9.04495
835.536	8.23539	9.04648
835.636	8.22071	9.04802
835.735	8.20615	9.04956
835.834	8.19254	9.05112
835.933	8.17948	9.05268
836.033	8.1666	9.05424
836.132	8.15379	9.05581
836.231	8.14053	9.05739
836.331	8.12633	9.05897
836.43	8.11139	9.06055
836.529	8.09615	9.06215
836.629	8.08145	9.06375
836.728	8.06766	9.06536
836.827	8.05435	9.06698
836.926	8.04132	9.0686
837.026	8.02791	9.07022
837.125	8.01449	9.07184
837.224	8.00168	9.07346
837.324	7.98967	9.07508
837.423	7.97854	9.0767
837.522	7.96861	9.07832
837.622	7.95922	9.07994
837.721	7.94972	9.08155
837.82	7.94027	9.08317
837.92	7.93033	9.08477
838.019	7.92144	9.08638
838.118	7.91479	9.08797
838.217	7.91142	9.08955
838.317	7.91077	9.09112
838.416	7.91206	9.09268
838.515	7.91497	9.09423
838.615	7.91895	9.09576
838.714	7.92479	9.09729
838.813	7.93216	9.09882
838.913	7.9408	9.10033
839.012	7.95014	9.10184
839.111	7.96001	9.10334
839.21	7.97086	9.10483
839.31	7.98278	9.10632
839.409	7.99536	9.10781
839.508	8.00903	9.10928
839.608	8.02397	9.11076
839.707	8.0404	9.11223
839.806	8.05883	9.11369
839.906	8.07862	9.11515
840.005	8.09788	9.1166
840.104	8.11481	9.11805
840.203	8.12895	9.1195
840.303	8.13927	9.12095
840.402	8.1464	9.12239
840.501	8.15192	9.12383
840.601	8.15612	9.12527
840.7	8.15926	9.12671
840.799	8.16185	9.12815
840.899	8.16339	9.1296
840.998	8.16367	9.13105
841.097	8.16343	9.1325
841.197	8.16306	9.13395
841.296	8.16238	9.13541
841.395	8.162	9.13687
841.494	8.16174	9.13833
841.594	8.16115	9.1398
841.693	8.16041	9.14127
841.792	8.1597	9.14274
841.892	8.15965	9.14423
841.991	8.16115	9.14572
842.09	8.16469	9.14721
842.19	8.16978	9.14872
842.289	8.17579	9.15023
842.388	8.18231	9.15175
842.487	8.18934	9.15327
842.587	8.19694	9.15481
842.686	8.2057	9.15635
842.785	8.2156	9.15789
842.885	8.22614	9.15945
842.984	8.23734	9.16101
843.083	8.24853	9.16257
843.183	8.25933	9.16415
843.282	8.27014	9.16574
843.381	8.28115	9.16733
843.48	8.29262	9.16894
843.58	8.30477	9.17057
843.679	8.31766	9.17221
843.778	8.33086	9.17387
843.878	8.3442	9.17555
843.977	8.35728	9.17724
844.076	8.37024	9.17896
844.176	8.38315	9.18071
844.275	8.39679	9.18247
844.374	8.41151	9.18427
844.474	8.42686	9.18609
844.573	8.44287	9.18795
844.672	8.45927	9.18983
844.771	8.47609	9.19174
844.871	8.4936	9.19369
844.97	8.51226	9.19566
845.069	8.53202	9.19767
845.169	8.5525	9.19972
845.268	8.57382	9.2018
845.367	8.59578	9.20391
845.467	8.61836	9.20606
845.566	8.64209	9.20824
845.665	8.66717	9.21044
845.764	8.69364	9.21266
845.864	8.72114	9.21491
845.963	8.74915	9.21719
846.062	8.77771	9.21948
846.162	8.80654	9.2218
846.261	8.83557	9.22413
846.36	8.865	9.22649
846.46	8.89479	9.22887
846.559	8.92471	9.23126
846.658	8.95388	9.23368
846.757	8.98183	9.23612
846.857	9.00707	9.23858
846.956	9.02999	9.24105
847.055	9.05161	9.24354
847.155	9.0727	9.24605
847.254	9.09482	9.24857
847.353	9.11771	9.25111
847.453	9.14213	9.25366
847.552	9.16728	9.25622
847.651	9.19331	9.25879
847.751	9.22024	9.26136
847.85	9.24785	9.26395
847.949	9.27643	9.26653
848.048	9.30553	9.26913
848.148	9.33476	9.27172
848.247	9.36337	9.27432
848.346	9.39181	9.27693
848.446	9.41967	9.27953
848.545	9.44782	9.28215
848.644	9.47668	9.28476
848.744	9.50597	9.28738
848.843	9.53639	9.28999
848.942	9.56742	9.29261
849.042	9.59873	9.29523
849.141	9.63031	9.29784
849.24	9.6618	9.30045
849.339	9.69289	9.30306
849.439	9.72273	9.30567
849.538	9.7506	9.30827
849.637	9.77589	9.31087
849.737	9.79872	9.31347
849.836	9.81974	9.31606
849.935	9.83941	9.31865
850.034	9.85867	9.32124
850.134	9.87793	9.32385
850.233	9.89735	9.32646
850.332	9.91704	9.32908
850.432	9.93771	9.33173
850.531	9.95942	9.33439
850.63	9.98257	9.33708
850.73	10.00746	9.33979
850.829	10.03312	9.34252
850.928	10.05916	9.34526
851.028	10.08471	9.34801
851.127	10.10889	9.35076
851.226	10.13167	9.35352
851.325	10.15337	9.35627
851.425	10.17448	9.35902
851.524	10.19606	9.36177
851.623	10.21766	9.36451
851.723	10.23862	9.36725
851.822	10.25922	9.36999
851.921	10.27898	9.37272
852.021	10.29847	9.37545
852.12	10.31927	9.37817
852.219	10.34083	9.38089
852.319	10.36281	9.38362
852.418	10.38475	9.38634
852.517	10.40587	9.38906
852.616	10.4261	9.39179
852.716	10.44557	9.39452
852.815	10.46304	9.39726
852.914	10.47782	9.4
853.014	10.4908	9.40275
853.113	10.50198	9.40551
853.212	10.51156	9.40827
853.311	10.51917	9.41104
853.411	10.5239	9.41381
853.51	10.52599	9.4166
853.609	10.52601	9.4194
853.709	10.52451	9.42221
853.808	10.52147	9.42503
853.907	10.51685	9.42788
854.007	10.51138	9.43074
854.106	10.50503	9.43362
854.205	10.49845	9.43652
854.305	10.49166	9.43945
854.404	10.48468	9.4424
854.503	10.47765	9.44539
854.602	10.47072	9.44841
854.702	10.46456	9.45146
854.801	10.45897	9.45456
854.9	10.45525	9.45768
855	10.45333	9.46084
855.099	10.45384	9.46404
855.198	10.45743	9.46726
855.298	10.4636	9.47051
855.397	10.47226	9.47377
855.496	10.48178	9.47705
855.596	10.49184	9.48034
855.695	10.50217	9.48364
855.794	10.51282	9.48695
855.893	10.52464	9.49026
855.993	10.53672	9.49359
856.092	10.54838	9.49693
856.191	10.55896	9.50028
856.291	10.56845	9.50363
856.39	10.57735	9.50698
856.489	10.58595	9.51034
856.588	10.59435	9.5137
856.688	10.60215	9.51705
856.787	10.60999	9.5204
856.886	10.61804	9.52376
856.986	10.62612	9.52711
857.085	10.63479	9.53047
857.184	10.64363	9.53383
857.284	10.65279	9.5372
857.383	10.66341	9.54056
857.482	10.67374	9.54393
857.582	10.68443	9.5473
857.681	10.69567	9.55067
857.78	10.7061	9.55404
857.879	10.71772	9.55741
857.979	10.72925	9.56079
858.078	10.73987	9.56417
858.177	10.74928	9.56756
858.277	10.75704	9.57096
858.376	10.76338	9.57437
858.475	10.76821	9.57778
858.575	10.77167	9.58121
858.674	10.7737	9.58464
858.773	10.77463	9.58808
858.873	10.77507	9.59153
858.972	10.77541	9.59498
859.071	10.77538	9.59844
859.17	10.77468	9.60191
859.27	10.77273	9.60538
859.369	10.76951	9.60885
859.468	10.76454	9.61233
859.568	10.75723	9.61581
859.667	10.74725	9.6193
859.766	10.73458	9.62278
859.865	10.71958	9.62627
859.965	10.70341	9.62975
860.064	10.68774	9.63324
860.163	10.67291	9.63673
860.263	10.65987	9.64022
860.362	10.64882	9.64371
860.461	10.63887	9.6472
860.561	10.63054	9.65069
860.66	10.62336	9.65419
860.759	10.61709	9.65769
860.859	10.6116	9.66119
860.958	10.60698	9.6647
861.057	10.60296	9.6682
861.156	10.59941	9.67171
861.256	10.59691	9.67521
861.355	10.5948	9.67872
861.454	10.59311	9.68223
861.554	10.59171	9.68574
861.653	10.59081	9.68925
861.752	10.59078	9.69276
861.852	10.59164	9.69627
861.951	10.59335	9.69978
862.05	10.59556	9.70329
862.15	10.59786	9.7068
862.249	10.60065	9.71031
862.348	10.60377	9.71382
862.447	10.60631	9.71733
862.547	10.60807	9.72084
862.646	10.60756	9.72435
862.745	10.60465	9.72785
862.845	10.60018	9.73135
862.944	10.59518	9.73484
863.043	10.59094	9.73834
863.142	10.58766	9.74182
863.242	10.58519	9.74531
863.341	10.58299	9.74879
863.44	10.58017	9.75226
863.54	10.57749	9.75574
863.639	10.57474	9.75921
863.738	10.57231	9.76267
863.838	10.57102	9.76614
863.937	10.57028	9.7696
864.036	10.57005	9.77306
864.136	10.56974	9.77652
864.235	10.56895	9.77997
864.334	10.56781	9.78343
864.433	10.56649	9.78688
864.533	10.56528	9.79033
864.632	10.56436	9.79378
864.731	10.56357	9.79722
864.831	10.56279	9.80067
864.93	10.56163	9.80411
865.029	10.56008	9.80754
865.129	10.55821	9.81097
865.228	10.55615	9.8144
865.327	10.55355	9.81782
865.426	10.55043	9.82123
865.526	10.54587	9.82463
865.625	10.53915	9.82803
865.724	10.5305	9.83141
865.824	10.51955	9.83478
865.923	10.50715	9.83813
866.022	10.49348	9.84148
866.122	10.47911	9.84481
866.221	10.46436	9.84813
866.32	10.44895	9.85143
866.419	10.43282	9.85472
866.519	10.41571	9.858
866.618	10.39863	9.86127
866.717	10.38225	9.86453
866.817	10.36857	9.86777
866.916	10.35797	9.87101
867.015	10.34896	9.87424
867.115	10.34072	9.87746
867.214	10.33153	9.88067
867.313	10.32148	9.88387
867.413	10.31077	9.88706
867.512	10.30041	9.89025
867.611	10.29006	9.89342
867.71	10.27944	9.89659
867.81	10.26841	9.89975
867.909	10.25652	9.90291
868.008	10.244	9.90605
868.108	10.23102	9.90919
868.207	10.21759	9.91232
868.306	10.20336	9.91544
868.406	10.18887	9.91855
868.505	10.17329	9.92166
868.604	10.1568	9.92476
868.703	10.13942	9.92785
868.803	10.1207	9.93094
868.902	10.10149	9.93402
869.001	10.08189	9.93709
869.101	10.0626	9.94016
869.2	10.04385	9.94323
869.299	10.02549	9.94629
869.399	10.00778	9.94934
869.498	9.99097	9.95239
869.597	9.97486	9.95544
869.696	9.95917	9.95848
869.796	9.94447	9.96152
869.895	9.93067	9.96455
869.994	9.91781	9.96758
870.094	9.90609	9.97061
870.193	9.89516	9.97363
870.292	9.88438	9.97664
870.392	9.87346	9.97964
870.491	9.86245	9.98263
870.59	9.8507	9.98562
870.69	9.83876	9.9886
870.789	9.82695	9.99158
870.888	9.81513	9.99454
870.987	9.80455	9.99751
871.087	9.79456	10.00047
871.186	9.78539	10.00342
871.285	9.77713	10.00637
871.385	9.76892	10.00932
871.484	9.76054	10.01226
871.583	9.75243	10.01519
871.683	9.74491	10.01812
871.782	9.73757	10.02103
871.881	9.731	10.02394
871.98	9.72446	10.02684
872.08	9.71657	10.02973
872.179	9.7074	10.03261
872.278	9.69687	10.03549
872.378	9.68539	10.03836
872.477	9.67399	10.04122
872.576	9.66271	10.04407
872.676	9.65148	10.04692
872.775	9.64041	10.04976
872.874	9.6291	10.0526
872.973	9.61727	10.05544
873.073	9.60457	10.05827
873.172	9.5912	10.0611
873.271	9.57778	10.06393
873.371	9.56559	10.06675
873.47	9.55458	10.06958
873.569	9.5442	10.0724
873.669	9.53407	10.07522
873.768	9.52323	10.07804
873.867	9.5122	10.08085
873.967	9.50128	10.08367
874.066	9.49023	10.08648
874.165	9.48007	10.08929
874.264	9.4711	10.0921
874.364	9.46343	10.09491
874.463	9.45745	10.09773
874.562	9.45175	10.10054
874.662	9.44583	10.10335
874.761	9.43979	10.10617
874.86	9.43372	10.10898
874.96	9.42819	10.11179
875.059	9.42235	10.11461
875.158	9.41618	10.11742
875.257	9.40909	10.12022
875.357	9.40116	10.12303
875.456	9.39302	10.12583
875.555	9.384	10.12862
875.655	9.37429	10.13141
875.754	9.3637	10.1342
875.853	9.35222	10.13698
875.953	9.34046	10.13976
876.052	9.32898	10.14253
876.151	9.3183	10.14529
876.25	9.30842	10.14806
876.35	9.29902	10.15082
876.449	9.28972	10.15358
876.548	9.28033	10.15634
876.648	9.27138	10.15909
876.747	9.26276	10.16185
876.846	9.2547	10.16459
876.946	9.24759	10.16734
877.045	9.24054	10.17008
877.144	9.23349	10.17281
877.244	9.226	10.17554
877.343	9.21672	10.17826
877.442	9.20704	10.18098
877.541	9.19679	10.1837
877.641	9.18618	10.18641
877.74	9.17712	10.18912
877.839	9.16765	10.19182
877.939	9.15741	10.19452
878.038	9.14545	10.19722
